127.0.0.1 - - [14/Jul/2015:21:54:40 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/resources/css/login.css HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/dock/dock.js?ln=primefaces&v=4.0 HTTP/1.1" 200 6861
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:50 -0300] "GET /chromia/resources/images/g.png HTTP/1.1" 200 31429
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:50 -0300] "GET /chromia/resources/images/y.png HTTP/1.1" 200 31997
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:50 -0300] "GET /chromia/resources/images/git.png HTTP/1.1" 200 33157
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:50 -0300] "GET /chromia/resources/images/i.png HTTP/1.1" 200 37946
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:50 -0300] "GET /chromia/resources/images/t.png HTTP/1.1" 200 36893
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:50 -0300] "GET /chromia/resources/images/f.png HTTP/1.1" 200 20104
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:51 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:51 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:51 -0300] "GET /chromia/resources/images/negro.jpg HTTP/1.1" 200 1918600
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:51 -0300] "GET /chromia/resources/images/login.png HTTP/1.1" 200 536
